month,year,station,basin,day_night,size_class,trap,count
8,1991,124,north,N,large,A,104
8,1991,124,north,N,large,B,147
8,1991,124,north,N,large,C,40
8,1991,124,north,N,large,D,92
8,1991,124,north,N,large,E,122
8,1991,124,north,N,small,A,188
8,1991,124,north,N,small,B,302
8,1991,124,north,N,small,C,120
8,1991,124,north,N,small,D,262
8,1991,124,north,N,small,E,256
8,1991,128,north,D,large,A,1
8,1991,128,north,D,large,B,2
8,1991,128,north,D,large,C,3
8,1991,128,north,D,large,D,0
8,1991,128,north,D,large,E,1
8,1991,128,north,D,small,A,9
8,1991,128,north,D,small,B,4
8,1991,128,north,D,small,C,10
8,1991,128,north,D,small,D,36
8,1991,128,north,D,small,E,41
8,1991,128,north,N,large,A,52
8,1991,128,north,N,large,B,14
8,1991,128,north,N,large,C,8
8,1991,128,north,N,large,D,37
8,1991,128,north,N,large,E,9
8,1991,128,north,N,small,A,35
8,1991,128,north,N,small,B,9
8,1991,128,north,N,small,C,4
8,1991,128,north,N,small,D,32
8,1991,128,north,N,small,E,9
8,1991,135,east,D,large,A,1
8,1991,135,east,D,large,B,0
8,1991,135,east,D,large,C,1
8,1991,135,east,D,large,D,0
8,1991,135,east,D,large,E,0
8,1991,135,east,D,small,A,31
8,1991,135,east,D,small,B,21
8,1991,135,east,D,small,C,17
8,1991,135,east,D,small,D,22
8,1991,135,east,D,small,E,0
8,1991,135,east,N,large,A,1
8,1991,135,east,N,large,B,64
8,1991,135,east,N,large,C,67
8,1991,135,east,N,large,D,31
8,1991,135,east,N,large,E,41
8,1991,135,east,N,small,A,10
8,1991,135,east,N,small,B,214
8,1991,135,east,N,small,C,27
8,1991,135,east,N,small,D,24
8,1991,135,east,N,small,E,109
8,1991,23,south,D,large,A,0
8,1991,23,south,D,large,B,0
8,1991,23,south,D,large,C,0
8,1991,23,south,D,large,D,0
8,1991,23,south,D,large,E,0
8,1991,23,south,D,small,A,29
8,1991,23,south,D,small,B,3
8,1991,23,south,D,small,C,0
8,1991,23,south,D,small,D,0
8,1991,23,south,D,small,E,0
8,1991,23,south,N,large,A,8
8,1991,23,south,N,large,B,24
8,1991,23,south,N,large,C,9
8,1991,23,south,N,large,D,24
8,1991,23,south,N,large,E,12
8,1991,23,south,N,small,A,14
8,1991,23,south,N,small,B,58
8,1991,23,south,N,small,C,29
8,1991,23,south,N,small,D,17
8,1991,23,south,N,small,E,24
8,1991,27,south,D,large,A,3
8,1991,27,south,D,large,B,1
8,1991,27,south,D,large,C,0
8,1991,27,south,D,large,D,0
8,1991,27,south,D,large,E,0
8,1991,27,south,D,small,A,74
8,1991,27,south,D,small,B,18
8,1991,27,south,D,small,C,1
8,1991,27,south,D,small,D,1
8,1991,27,south,D,small,E,1
8,1991,27,south,N,large,A,12
8,1991,27,south,N,large,B,17
8,1991,27,south,N,large,C,15
8,1991,27,south,N,large,D,7
8,1991,27,south,N,large,E,24
8,1991,27,south,N,small,A,30
8,1991,27,south,N,small,B,42
8,1991,27,south,N,small,C,88
8,1991,27,south,N,small,D,62
8,1991,27,south,N,small,E,93
8,1991,41,south,D,large,A,0
8,1991,41,south,D,large,B,0
8,1991,41,south,D,large,C,0
8,1991,41,south,D,large,D,0
8,1991,41,south,D,large,E,0
8,1991,41,south,D,small,A,55
8,1991,41,south,D,small,B,4
8,1991,41,south,D,small,C,0
8,1991,41,south,D,small,D,0
8,1991,41,south,D,small,E,0
8,1991,41,south,N,large,A,1
8,1991,41,south,N,large,B,0
8,1991,41,south,N,large,C,0
8,1991,41,south,N,large,D,0
8,1991,41,south,N,large,E,0
8,1991,41,south,N,small,A,3
8,1991,41,south,N,small,B,4
8,1991,41,south,N,small,C,0
8,1991,41,south,N,small,D,0
8,1991,41,south,N,small,E,0
8,1991,44,south,D,large,A,2
8,1991,44,south,D,large,B,0
8,1991,44,south,D,large,C,1
8,1991,44,south,D,large,D,3
8,1991,44,south,D,large,E,7
8,1991,44,south,D,small,A,9
8,1991,44,south,D,small,B,4
8,1991,44,south,D,small,C,0
8,1991,44,south,D,small,D,32
8,1991,44,south,D,small,E,10
8,1991,44,south,N,large,A,2
8,1991,44,south,N,large,B,37
8,1991,44,south,N,large,C,16
8,1991,44,south,N,large,D,49
8,1991,44,south,N,large,E,0
8,1991,44,south,N,small,A,9
8,1991,44,south,N,small,B,4
8,1991,44,south,N,small,C,39
8,1991,44,south,N,small,D,35
8,1991,44,south,N,small,E,0
8,1991,DN,north,D,large,A,6
8,1991,DN,north,D,large,B,0
8,1991,DN,north,D,large,C,0
8,1991,DN,north,D,large,D,0
8,1991,DN,north,D,large,E,0
8,1991,DN,north,D,small,A,42
8,1991,DN,north,D,small,B,35
8,1991,DN,north,D,small,C,33
8,1991,DN,north,D,small,D,0
8,1991,DN,north,D,small,E,0
8,1991,DN,north,N,large,A,36
8,1991,DN,north,N,large,B,10
8,1991,DN,north,N,large,C,8
8,1991,DN,north,N,large,D,2
8,1991,DN,north,N,large,E,18
8,1991,DN,north,N,small,A,75
8,1991,DN,north,N,small,B,29
8,1991,DN,north,N,small,C,14
8,1991,DN,north,N,small,D,12
8,1991,DN,north,N,small,E,62
6,1992,124,north,D,large,A,48
6,1992,124,north,D,large,B,60
6,1992,124,north,D,large,C,47
6,1992,124,north,D,large,D,49
6,1992,124,north,D,large,E,62
6,1992,124,north,D,small,A,56
6,1992,124,north,D,small,B,26
6,1992,124,north,D,small,C,103
6,1992,124,north,D,small,D,64
6,1992,124,north,D,small,E,55
6,1992,124,north,N,large,A,66
6,1992,124,north,N,large,B,21
6,1992,124,north,N,large,C,60
6,1992,124,north,N,large,D,48
6,1992,124,north,N,large,E,38
6,1992,124,north,N,small,A,247
6,1992,124,north,N,small,B,320
6,1992,124,north,N,small,C,356
6,1992,124,north,N,small,D,319
6,1992,124,north,N,small,E,266
6,1992,128,north,N,large,A,46
6,1992,128,north,N,large,B,57
6,1992,128,north,N,large,C,21
6,1992,128,north,N,large,D,21
6,1992,128,north,N,large,E,40
6,1992,128,north,N,small,A,71
6,1992,128,north,N,small,B,60
6,1992,128,north,N,small,C,58
6,1992,128,north,N,small,D,59
6,1992,128,north,N,small,E,66
6,1992,135,east,D,large,A,9
6,1992,135,east,D,large,B,3
6,1992,135,east,D,large,C,39
6,1992,135,east,D,large,D,0
6,1992,135,east,D,large,E,26
6,1992,135,east,D,small,A,157
6,1992,135,east,D,small,B,180
6,1992,135,east,D,small,C,185
6,1992,135,east,D,small,D,4
6,1992,135,east,D,small,E,195
6,1992,135,east,N,large,A,13
6,1992,135,east,N,large,B,29
6,1992,135,east,N,large,C,34
6,1992,135,east,N,large,D,19
6,1992,135,east,N,large,E,39
6,1992,135,east,N,small,A,154
6,1992,135,east,N,small,B,169
6,1992,135,east,N,small,C,153
6,1992,135,east,N,small,D,303
6,1992,135,east,N,small,E,284
6,1992,23,south,D,large,A,17
6,1992,23,south,D,large,B,12
6,1992,23,south,D,large,C,14
6,1992,23,south,D,large,D,27
6,1992,23,south,D,large,E,11
6,1992,23,south,D,small,A,212
6,1992,23,south,D,small,B,145
6,1992,23,south,D,small,C,148
6,1992,23,south,D,small,D,244
6,1992,23,south,D,small,E,140
6,1992,23,south,N,large,A,18
6,1992,23,south,N,large,B,17
6,1992,23,south,N,large,C,27
6,1992,23,south,N,large,D,15
6,1992,23,south,N,large,E,19
6,1992,23,south,N,small,A,240
6,1992,23,south,N,small,B,247
6,1992,23,south,N,small,C,233
6,1992,23,south,N,small,D,248
6,1992,23,south,N,small,E,318
6,1992,27,south,D,large,A,0
6,1992,27,south,D,large,B,4
6,1992,27,south,D,large,C,2
6,1992,27,south,D,large,D,10
6,1992,27,south,D,large,E,9
6,1992,27,south,D,small,A,27
6,1992,27,south,D,small,B,33
6,1992,27,south,D,small,C,82
6,1992,27,south,D,small,D,84
6,1992,27,south,D,small,E,76
6,1992,27,south,N,large,A,11
6,1992,27,south,N,large,B,15
6,1992,27,south,N,large,C,2
6,1992,27,south,N,large,D,17
6,1992,27,south,N,large,E,15
6,1992,27,south,N,small,A,150
6,1992,27,south,N,small,B,157
6,1992,27,south,N,small,C,81
6,1992,27,south,N,small,D,130
6,1992,27,south,N,small,E,146
6,1992,41,south,D,large,A,33
6,1992,41,south,D,large,B,27
6,1992,41,south,D,large,C,22
6,1992,41,south,D,large,D,59
6,1992,41,south,D,large,E,16
6,1992,41,south,D,small,A,275
6,1992,41,south,D,small,B,260
6,1992,41,south,D,small,C,167
6,1992,41,south,D,small,D,339
6,1992,41,south,D,small,E,167
6,1992,41,south,N,large,A,41
6,1992,41,south,N,large,B,34
6,1992,41,south,N,large,C,46
6,1992,41,south,N,large,D,34
6,1992,41,south,N,large,E,61
6,1992,41,south,N,small,A,224
6,1992,41,south,N,small,B,258
6,1992,41,south,N,small,C,268
6,1992,41,south,N,small,D,146
6,1992,41,south,N,small,E,215
6,1992,44,south,D,small,A,308
6,1992,44,south,D,small,B,175
6,1992,44,south,D,small,C,243
6,1992,44,south,D,small,D,238
6,1992,44,south,D,small,E,302
6,1992,44,south,N,large,A,38
6,1992,44,south,N,large,B,15
6,1992,44,south,N,large,C,39
6,1992,44,south,N,large,D,25
6,1992,44,south,N,large,E,16
6,1992,44,south,N,small,A,337
6,1992,44,south,N,small,B,164
6,1992,44,south,N,small,C,248
6,1992,44,south,N,small,D,254
6,1992,44,south,N,small,E,275
6,1992,DN,north,D,large,A,50
6,1992,DN,north,D,large,B,67
6,1992,DN,north,D,large,C,67
6,1992,DN,north,D,large,D,41
6,1992,DN,north,D,large,E,60
6,1992,DN,north,D,small,A,110
6,1992,DN,north,D,small,B,96
6,1992,DN,north,D,small,C,120
6,1992,DN,north,D,small,D,228
6,1992,DN,north,D,small,E,105
6,1992,DN,north,N,large,A,54
6,1992,DN,north,N,large,B,83
6,1992,DN,north,N,large,C,59
6,1992,DN,north,N,large,D,63
6,1992,DN,north,N,large,E,0
6,1992,DN,north,N,small,A,106
6,1992,DN,north,N,small,B,79
6,1992,DN,north,N,small,C,53
6,1992,DN,north,N,small,D,86
6,1992,DN,north,N,small,E,0
9,1992,124,north,D,large,A,0
9,1992,124,north,D,large,B,0
9,1992,124,north,D,large,C,0
9,1992,124,north,D,large,D,0
9,1992,124,north,D,large,E,0
9,1992,124,north,D,small,A,2
9,1992,124,north,D,small,B,2
9,1992,124,north,D,small,C,0
9,1992,124,north,D,small,D,0
9,1992,124,north,D,small,E,0
9,1992,124,north,N,large,A,58
9,1992,124,north,N,large,B,45
9,1992,124,north,N,large,C,62
9,1992,124,north,N,large,D,73
9,1992,124,north,N,large,E,0
9,1992,124,north,N,small,A,254
9,1992,124,north,N,small,B,155
9,1992,124,north,N,small,C,140
9,1992,124,north,N,small,D,311
9,1992,124,north,N,small,E,0
9,1992,128,north,D,large,A,1
9,1992,128,north,D,large,B,0
9,1992,128,north,D,large,C,0
9,1992,128,north,D,large,D,0
9,1992,128,north,D,large,E,0
9,1992,128,north,D,small,A,2
9,1992,128,north,D,small,B,0
9,1992,128,north,D,small,C,0
9,1992,128,north,D,small,D,0
9,1992,128,north,D,small,E,0
9,1992,128,north,N,large,A,33
9,1992,128,north,N,large,B,22
9,1992,128,north,N,large,C,0
9,1992,128,north,N,large,D,4
9,1992,128,north,N,large,E,1
9,1992,128,north,N,small,A,27
9,1992,128,north,N,small,B,17
9,1992,128,north,N,small,C,4
9,1992,128,north,N,small,D,9
9,1992,128,north,N,small,E,4
9,1992,135,east,D,large,A,0
9,1992,135,east,D,large,B,0
9,1992,135,east,D,large,C,0
9,1992,135,east,D,large,D,0
9,1992,135,east,D,large,E,0
9,1992,135,east,D,small,A,1
9,1992,135,east,D,small,B,1
9,1992,135,east,D,small,C,0
9,1992,135,east,D,small,D,0
9,1992,135,east,D,small,E,0
9,1992,135,east,N,large,A,37
9,1992,135,east,N,large,B,72
9,1992,135,east,N,large,C,73
9,1992,135,east,N,large,D,32
9,1992,135,east,N,large,E,37
9,1992,135,east,N,small,A,20
9,1992,135,east,N,small,B,31
9,1992,135,east,N,small,C,46
9,1992,135,east,N,small,D,12
9,1992,135,east,N,small,E,27
9,1992,23,south,D,large,A,0
9,1992,23,south,D,large,B,0
9,1992,23,south,D,large,C,0
9,1992,23,south,D,large,D,0
9,1992,23,south,D,large,E,0
9,1992,23,south,D,small,A,0
9,1992,23,south,D,small,B,0
9,1992,23,south,D,small,C,0
9,1992,23,south,D,small,D,0
9,1992,23,south,D,small,E,0
9,1992,23,south,N,large,A,3
9,1992,23,south,N,large,B,0
9,1992,23,south,N,large,C,0
9,1992,23,south,N,large,D,0
9,1992,23,south,N,large,E,0
9,1992,23,south,N,small,A,1
9,1992,23,south,N,small,B,1
9,1992,23,south,N,small,C,2
9,1992,23,south,N,small,D,0
9,1992,23,south,N,small,E,0
9,1992,27,south,D,large,A,0
9,1992,27,south,D,large,B,0
9,1992,27,south,D,large,C,0
9,1992,27,south,D,large,D,0
9,1992,27,south,D,large,E,0
9,1992,27,south,D,small,A,0
9,1992,27,south,D,small,B,0
9,1992,27,south,D,small,C,0
9,1992,27,south,D,small,D,0
9,1992,27,south,D,small,E,0
9,1992,27,south,N,large,A,1
9,1992,27,south,N,large,B,0
9,1992,27,south,N,large,C,0
9,1992,27,south,N,large,D,0
9,1992,27,south,N,large,E,0
9,1992,27,south,N,small,A,0
9,1992,27,south,N,small,B,0
9,1992,27,south,N,small,C,0
9,1992,27,south,N,small,D,0
9,1992,27,south,N,small,E,0
9,1992,41,south,D,large,A,0
9,1992,41,south,D,large,B,0
9,1992,41,south,D,large,C,0
9,1992,41,south,D,large,D,0
9,1992,41,south,D,large,E,0
9,1992,41,south,D,small,A,0
9,1992,41,south,D,small,B,0
9,1992,41,south,D,small,C,0
9,1992,41,south,D,small,D,0
9,1992,41,south,D,small,E,0
9,1992,41,south,N,large,A,1
9,1992,41,south,N,large,B,2
9,1992,41,south,N,large,C,1
9,1992,41,south,N,large,D,0
9,1992,41,south,N,large,E,0
9,1992,41,south,N,small,A,0
9,1992,41,south,N,small,B,0
9,1992,41,south,N,small,C,2
9,1992,41,south,N,small,D,0
9,1992,41,south,N,small,E,0
9,1992,44,south,D,large,A,0
9,1992,44,south,D,large,B,0
9,1992,44,south,D,large,C,0
9,1992,44,south,D,large,D,0
9,1992,44,south,D,large,E,0
9,1992,44,south,D,small,A,0
9,1992,44,south,D,small,B,0
9,1992,44,south,D,small,C,0
9,1992,44,south,D,small,D,0
9,1992,44,south,D,small,E,0
9,1992,44,south,N,large,A,0
9,1992,44,south,N,large,B,0
9,1992,44,south,N,large,C,0
9,1992,44,south,N,large,D,0
9,1992,44,south,N,large,E,0
9,1992,44,south,N,small,A,1
9,1992,44,south,N,small,B,1
9,1992,44,south,N,small,C,1
9,1992,44,south,N,small,D,3
9,1992,44,south,N,small,E,0
9,1992,DN,north,D,large,A,0
9,1992,DN,north,D,large,B,0
9,1992,DN,north,D,large,C,0
9,1992,DN,north,D,large,D,0
9,1992,DN,north,D,large,E,0
9,1992,DN,north,D,small,A,3
9,1992,DN,north,D,small,B,26
9,1992,DN,north,D,small,C,15
9,1992,DN,north,D,small,D,14
9,1992,DN,north,D,small,E,22
9,1992,DN,north,N,large,A,12
9,1992,DN,north,N,large,B,7
9,1992,DN,north,N,large,C,10
9,1992,DN,north,N,large,D,17
9,1992,DN,north,N,large,E,9
9,1992,DN,north,N,small,A,59
9,1992,DN,north,N,small,B,44
9,1992,DN,north,N,small,C,28
9,1992,DN,north,N,small,D,51
9,1992,DN,north,N,small,E,28
6,1993,124,north,D,large,A,62
6,1993,124,north,D,large,B,77
6,1993,124,north,D,large,C,32
6,1993,124,north,D,large,D,26
6,1993,124,north,D,large,E,0
6,1993,124,north,D,small,A,32
6,1993,124,north,D,small,B,24
6,1993,124,north,D,small,C,10
6,1993,124,north,D,small,D,9
6,1993,124,north,D,small,E,0
6,1993,124,north,N,large,A,60
6,1993,124,north,N,large,B,72
6,1993,124,north,N,large,C,82
6,1993,124,north,N,large,D,79
6,1993,124,north,N,large,E,79
6,1993,124,north,N,small,A,25
6,1993,124,north,N,small,B,23
6,1993,124,north,N,small,C,43
6,1993,124,north,N,small,D,35
6,1993,124,north,N,small,E,40
6,1993,128,north,D,large,A,36
6,1993,128,north,D,large,B,41
6,1993,128,north,D,large,C,1
6,1993,128,north,D,large,D,0
6,1993,128,north,D,large,E,0
6,1993,128,north,D,small,A,5
6,1993,128,north,D,small,B,1
6,1993,128,north,D,small,C,0
6,1993,128,north,D,small,D,0
6,1993,128,north,D,small,E,0
6,1993,128,north,N,large,A,73
6,1993,128,north,N,large,B,72
6,1993,128,north,N,large,C,47
6,1993,128,north,N,large,D,89
6,1993,128,north,N,large,E,49
6,1993,128,north,N,small,A,8
6,1993,128,north,N,small,B,4
6,1993,128,north,N,small,C,19
6,1993,128,north,N,small,D,11
6,1993,128,north,N,small,E,14
6,1993,135,east,D,large,A,0
6,1993,135,east,D,large,B,21
6,1993,135,east,D,large,C,6
6,1993,135,east,D,large,D,25
6,1993,135,east,D,large,E,5
6,1993,135,east,D,small,A,1
6,1993,135,east,D,small,B,2
6,1993,135,east,D,small,C,5
6,1993,135,east,D,small,D,3
6,1993,135,east,D,small,E,1
6,1993,135,east,N,large,A,1
6,1993,135,east,N,large,B,17
6,1993,135,east,N,large,C,20
6,1993,135,east,N,large,D,5
6,1993,135,east,N,large,E,48
6,1993,135,east,N,small,A,5
6,1993,135,east,N,small,B,6
6,1993,135,east,N,small,C,7
6,1993,135,east,N,small,D,4
6,1993,135,east,N,small,E,18
6,1993,23,south,D,large,A,4
6,1993,23,south,D,large,B,9
6,1993,23,south,D,large,C,1
6,1993,23,south,D,large,D,2
6,1993,23,south,D,large,E,66
6,1993,23,south,D,small,A,0
6,1993,23,south,D,small,B,1
6,1993,23,south,D,small,C,0
6,1993,23,south,D,small,D,0
6,1993,23,south,D,small,E,15
6,1993,23,south,N,large,A,1
6,1993,23,south,N,large,B,26
6,1993,23,south,N,large,C,29
6,1993,23,south,N,large,D,7
6,1993,23,south,N,large,E,0
6,1993,23,south,N,small,A,1
6,1993,23,south,N,small,B,5
6,1993,23,south,N,small,C,2
6,1993,23,south,N,small,D,2
6,1993,23,south,N,small,E,0
6,1993,27,south,D,large,A,1
6,1993,27,south,D,large,B,0
6,1993,27,south,D,large,C,0
6,1993,27,south,D,large,D,0
6,1993,27,south,D,large,E,0
6,1993,27,south,D,small,A,0
6,1993,27,south,D,small,B,0
6,1993,27,south,D,small,C,0
6,1993,27,south,D,small,D,0
6,1993,27,south,D,small,E,0
6,1993,27,south,N,large,A,1
6,1993,27,south,N,large,B,1
6,1993,27,south,N,large,C,0
6,1993,27,south,N,large,D,0
6,1993,27,south,N,large,E,0
6,1993,27,south,N,small,A,0
6,1993,27,south,N,small,B,0
6,1993,27,south,N,small,C,0
6,1993,27,south,N,small,D,0
6,1993,27,south,N,small,E,0
6,1993,41,south,D,large,A,1
6,1993,41,south,D,large,B,1
6,1993,41,south,D,large,C,0
6,1993,41,south,D,large,D,1
6,1993,41,south,D,large,E,0
6,1993,41,south,D,small,A,0
6,1993,41,south,D,small,B,0
6,1993,41,south,D,small,C,1
6,1993,41,south,D,small,D,0
6,1993,41,south,D,small,E,0
6,1993,41,south,N,large,A,0
6,1993,41,south,N,large,B,0
6,1993,41,south,N,large,C,0
6,1993,41,south,N,large,D,0
6,1993,41,south,N,large,E,22
6,1993,41,south,N,small,A,0
6,1993,41,south,N,small,B,0
6,1993,41,south,N,small,C,0
6,1993,41,south,N,small,D,0
6,1993,41,south,N,small,E,3
6,1993,44,south,D,large,A,0
6,1993,44,south,D,large,B,5
6,1993,44,south,D,large,C,26
6,1993,44,south,D,large,D,3
6,1993,44,south,D,large,E,4
6,1993,44,south,D,small,A,0
6,1993,44,south,D,small,B,1
6,1993,44,south,D,small,C,1
6,1993,44,south,D,small,D,0
6,1993,44,south,D,small,E,0
6,1993,44,south,N,large,A,25
6,1993,44,south,N,large,B,1
6,1993,44,south,N,large,C,7
6,1993,44,south,N,large,D,1
6,1993,44,south,N,large,E,0
6,1993,44,south,N,small,A,6
6,1993,44,south,N,small,B,1
6,1993,44,south,N,small,C,2
6,1993,44,south,N,small,D,0
6,1993,44,south,N,small,E,0
6,1993,DN,north,D,large,A,29
6,1993,DN,north,D,large,B,18
6,1993,DN,north,D,large,C,25
6,1993,DN,north,D,large,D,32
6,1993,DN,north,D,large,E,14
6,1993,DN,north,D,small,A,6
6,1993,DN,north,D,small,B,8
6,1993,DN,north,D,small,C,8
6,1993,DN,north,D,small,D,7
6,1993,DN,north,D,small,E,11
6,1993,DN,north,N,large,A,26
6,1993,DN,north,N,large,B,26
6,1993,DN,north,N,large,C,30
6,1993,DN,north,N,large,D,20
6,1993,DN,north,N,large,E,51
6,1993,DN,north,N,small,A,7
6,1993,DN,north,N,small,B,8
6,1993,DN,north,N,small,C,19
6,1993,DN,north,N,small,D,3
6,1993,DN,north,N,small,E,13
8,1993,124,north,D,large,A,0
8,1993,124,north,D,large,B,52
8,1993,124,north,D,large,C,104
8,1993,124,north,D,large,D,27
8,1993,124,north,D,large,E,103
8,1993,124,north,D,small,A,0
8,1993,124,north,D,small,B,6
8,1993,124,north,D,small,C,3
8,1993,124,north,D,small,D,9
8,1993,124,north,D,small,E,20
8,1993,124,north,N,large,A,101
8,1993,124,north,N,large,B,131
8,1993,124,north,N,large,C,115
8,1993,124,north,N,large,D,160
8,1993,124,north,N,large,E,160
8,1993,124,north,N,small,A,12
8,1993,124,north,N,small,B,15
8,1993,124,north,N,small,C,9
8,1993,124,north,N,small,D,24
8,1993,124,north,N,small,E,24
8,1993,128,north,D,large,A,1
8,1993,128,north,D,large,B,0
8,1993,128,north,D,large,C,0
8,1993,128,north,D,large,D,0
8,1993,128,north,D,large,E,0
8,1993,128,north,D,small,A,0
8,1993,128,north,D,small,B,0
8,1993,128,north,D,small,C,0
8,1993,128,north,D,small,D,2
8,1993,128,north,D,small,E,0
